Date,ARG,AUS,BEL,BRA,CAN,CHN,COL,CZE,FRA,DEU,IND,IDN,IRN,ITA,JAP,KOR,MEX,NLD,RUS,SAU,SGP,ZAF,ESP,TUR,GBR,USA
3_5_2020,0,0.230769231,2.7,0,0.8,1.208,0,1.333333333,1.815789474,3.333333333,0.086956522,0,1.008532423,1.310051107,0.914285714,1.073563218,0,3.142857143,0,0,0,0,0.649122807,0,2.333333333,0.859649123
3_6_2020,0,1.666666667,2.185185185,0,3.5,1.013245033,0,1.5,1.376811594,0.854545455,0.5,0,2.087986464,1.011703511,1.71875,1.08137045,0,1.045454545,0,0,1.857142857,0,3.810810811,0,0.688311688,1.612244898
3_7_2020,0.6,0.6,1.016949153,0,0.285714286,0.522875817,0,0.166666667,1.747368421,0.686170213,3,0,0.871961102,1.602827763,0.836363636,0.887128713,0,1.304347826,0,0,0.615384615,0,0.709219858,0,3.132075472,0.696202532
3_8_2020,0.666666667,4.333333333,0.516666667,0,2.5,0.6625,1,12,0.53313253,1.868217054,1.666666667,3,0.690520446,1.196471532,0.717391304,0.609375,0,1.283333333,0,0,1.5,0,1.73,0,0.698795181,0.981818182
3_9_2020,0,1.153846154,1.258064516,0.714285714,1.4,0.698113208,1,0,1.615819209,0.564315353,0.8,6.5,0.800807537,1.204423592,0.848484848,0.600732601,0,0.727272727,0,0.666666667,0,0,2.312138728,0,0.646551724,2.722222222
3_10_2020,0,1.066666667,0.717948718,1.2,0.285714286,0.72972973,1,2,1.300699301,2.066176471,3.25,0.615384615,1.480672269,0.543683918,2.071428571,0.213414634,0,1.089285714,0,1.25,0,0,1.555,0,2.506666667,1.761904762
3_11_2020,0.4,1.3125,1.678571429,1.166666667,8.75,1.259259259,3,5,1.370967742,1.604982206,0.461538462,0.875,1.087400681,2.367451382,0.948275862,6.914285714,0,1.983606557,0,0.2,1.8,1.5,0.935691318,0,1.941489362,1.590733591
3_12_2020,0,0,0,2,0.4,0.323529412,0,0.06,0,0.376940133,1.833333333,0,1.122129436,1.146130566,1.018181818,0.47107438,4,0,0,24,0,0.666666667,0,0,1.202739726,1.186893204
3_13_2020,0,0.3,0.2,7.071428571,5.142857143,1.181818182,1,15.66666667,0.3,9.394117647,0.818181818,0.4,1.199069767,0.960769521,0.660714286,0.964912281,3.5,0.2,2.125,1.708333333,0.2,1.75,0,0,1.44191344,0.981595092
3_14_2020,0.25,0.694444444,0.530612245,0,0.319444444,2.461538462,2.25,1.021276596,0.587175793,0.56981841,2.222222222,0.771428571,1.058960434,1.372987829,1.675675676,0.972727273,1.071428571,0.514851485,0.823529412,0.414634146,0.545454545,2,0.392216582,0,1.199052133,0.758333333
3_15_2020,3.666666667,0.94,1.515384615,2,2.608695652,0.8125,1.333333333,1.333333333,0.044171779,1.32967033,0.55,0.777777778,0.885714286,1.026594224,0.5,0.710280374,0.8,1.128205128,0.285714286,0,1.166666667,0.928571429,1.213977567,0,0.308300395,1.217032967
3_16_2020,1,1.70212766,0.873096447,3.454545455,2.566666667,1.153846154,1.916666667,0.703125,59.75,1.220661157,0.545454545,0.80952381,0.870967742,0.900557103,0.548387097,0.973684211,2.416666667,1.579545455,6.75,0.2,1.214285714,0.846153846,1.523809524,1.2,6.269230769,1.388261851
3_17_2020,1.090909091,0.9375,1.075581395,3.184210526,0.532467532,0.833333333,0.782608696,2.177777778,0.479776848,1.34394042,3.833333333,2.235294118,1.118708452,1.0906279,2.941176471,1.135135135,0.379310345,1.061151079,0.888888889,3.533333333,1.352941176,0,0.842350746,2.416666667,1.249488753,1.25203252
3_18_2020,0.916666667,1.546666667,1.313513514,0.421487603,2.43902439,1.76,1.5,0.693877551,1.365310078,1.546599496,0.608695652,1.447368421,1.01188455,1.193136699,0.7,1.107142857,2.272727273,1.176271186,1.375,0,2.043478261,0.35,1.197120709,1.75862069,1.449536279,1.306493506
3_19_2020,1.636363636,0.974137931,1.271604938,4.882352941,0.945,1.227272727,0.222222222,3.382352941,1.310149042,0.974918567,2.714285714,1.527272727,0.877516779,1.265034466,1.142857143,1.634408602,1.84,1.178674352,1.575757576,0.3,0.680851064,0.62962963,1.874653099,1.843137255,1.691381257,1.059642147
3_20_2020,1.722222222,0.973451327,1.495145631,0.690763052,1.343915344,1.740740741,8.333333333,0.604347826,0.968580715,1.512863348,1.315789474,0.69047619,1.182600382,1.124765126,1.35,0.572368421,0.847826087,1.310513447,1.038461538,0.67961165,1.25,1.529411765,0.603750308,1.776595745,1.416777926,1.18011257
3_21_2020,0.967741935,2.545454545,1.207792208,1.325581395,1.881889764,0.585106383,0.76,1.165467626,0.953579418,0.522305654,1.72,1.396551724,0.780921584,1.095389242,0.685185185,1.689655172,1.230769231,1.188432836,0.981481481,0.685714286,1.175,0.730769231,2.028606457,1.862275449,0.94157374,0.96581876
3_22_2020,3.6,1.707142857,1.050179211,2.302631579,0.820083682,2.363636364,0.921052632,0.771604938,1.347800587,1.124735729,0.76744186,0.790123457,1.064182195,0.847948757,1.216216216,1.102040816,1.354166667,0.905808477,1.150943396,2.479166667,0.489361702,0.894736842,0.683722804,1.819935691,1.487739783,1.142386831
3_23_2020,0.324074074,0.278242678,0.583617747,0.72,1.415816327,0.484615385,1.314285714,0.928,1.461705831,1.572556391,1.560606061,1.015625,1.372568093,0.861330935,0.888888889,0,0.784615385,0.948006932,1.163934426,0.428571429,2.347826087,3.764705882,1.87625221,0.517667845,1.250364391,1.692363112
3_24_2020,2.457142857,2.721804511,1.538011696,0.854497354,1.054054054,1.476190476,2.195652174,1.362068966,0.67043763,0.939517093,0.359223301,1.646153846,1.248759745,1.096053456,1.825,0.6,0.745098039,1.491773309,0.802816901,4.019607843,0.907407407,1.1875,0.74576005,1.170648464,0.952116212,1.014048531
3_25_2020,0,0.883977901,1.269961977,0.950464396,0.851282051,0.752688172,0.910891089,1.64556962,1.313943162,1.103562341,3.27027027,0.971962617,1.251986379,0.992570013,1.328767123,1.315789474,1.842105263,1.051470588,2.859649123,0.648780488,1.489795918,1.019736842,2.027795325,1.635568513,1.14211716,1.140638119
3_26_2020,0.5,1.39375,1.943113772,1.403908795,1.740963855,1.728571429,0.22826087,1.042307692,1.325109834,1.525247867,0.578512397,0.990384615,1.082955576,1.19059501,1.051546392,1.04,1.571428571,1.2004662,1.116564417,0.842105263,0.712328767,1.406451613,0.858878505,2.131907308,1.469530799,1.15090173
3_27_2020,0.756521739,0.746636771,0.80816641,1.002320186,0.806228374,0.950413223,2.285714286,1.306273063,0.967355267,1.048072562,2.285714286,1.485436893,1.224780243,0.952603579,1.117647059,0.875,1.2,1.144660194,1.076923077,0.821428571,0.942307692,1.114678899,0.959134325,1.72993311,1.043207452,1.03901503
3_28_2020,1.16091954,1.492492492,1.763584366,1.127314815,1.195994278,0.886956522,1.4375,0.994350282,1.225415239,0.98427809,0.625,0.712418301,1.051264525,1.011000169,1.736842105,1.604395604,0.992424242,0.994062765,1.163265306,1.076086957,1.428571429,0.069958848,0.947434766,0.823586274,1.192189769,0.875038473
3_29_2020,0.544554455,0.692152918,0.92,0.722792608,1.112440191,1.205882353,1.362318841,0.528409091,0.560025818,0.644783118,0.37,1.19266055,0.943107932,0.873284232,0.904040404,0.719178082,1.106870229,0.947952218,1.184210526,0.96969697,0.6,5.470588235,0.914715274,1.065140845,0.727621368,1.017235315
3_30_2020,1.363636364,1.095930233,0.624559342,0.917613636,1.189247312,0.617886179,1.021276596,0.989247312,1.670764502,1.088636364,6.135135135,0.992307692,1.098241986,0.776308223,0.525139665,0.742857143,0.696551724,0.798379838,1.118518519,1.604166667,0.833333333,0.494623656,1.141236364,0.887052342,1.373721089,1.496196404
3_31_2020,3.12,0.525198939,0.824082785,3.523219814,1.017179024,1.065789474,1.125,1.668478261,1.755805932,1.02776618,0.643171806,0.88372093,0.976145637,1.000740741,2.70212766,1.602564103,1.198019802,0.958286359,1.658940397,0.714285714,1.342857143,0.586956522,1.015421871,1.679503106,1.190800758,1.04783915
4_1_2020,0,1.53030303,1.357305936,0.983304042,1.138666667,1.012345679,1.472222222,0.651465798,0.634363541,1.231769246,4.116438356,1.307017544,0.960771704,1.179866765,1.102362205,0.808,1.347107438,1.210588235,0.878243513,1.427272727,1.574468085,1,1.028618049,0.794378698,1.221788408,1.097044552
4_2_2020,0.8,0.838283828,1.164003364,1.079535299,1.320843091,0.865853659,0.603773585,1.75,0.433938893,1.141490765,0.906821963,0.758389262,0.962182062,0.976160602,1.010714286,0.881188119,0.809815951,1.06122449,1.752272727,1.050955414,0.662162162,3.037037037,0.969737645,1.143389199,0.99993795,0.990952955
4_3_2020,1.670886076,0.842519685,1.027456647,0.837748344,0.791962175,1.112676056,1.104166667,0.665714286,2.485727878,0.919531927,0.044036697,1.734513274,0.944347826,0.982219366,1.187279152,0.966292135,1.348484848,0.945970696,0.779507134,0.933333333,1.326530612,0.524390244,0.897697244,1.134364821,1.007818802,1.010549807
4_4_2020,1.409090909,1.028037383,1.168073136,1.288537549,1.005223881,0.405063291,1.311320755,1.635193133,-3.268133971,0.775019639,21.45833333,0.540816327,0.942909761,1.047982552,1.104166667,1.093023256,1.134831461,0.877057115,0.968386023,0.909090909,1.153846154,1.860465116,0.97687132,1.081478823,0.990579398,0.817707288
4_5_2020,0,0.622727273,0.758579169,0.590490798,1.16481069,1.84375,0.568345324,0.30183727,-0.049718904,0.817149807,0.982524272,1.70754717,0.969921875,0.898231009,0.946091644,0.861702128,1.252475248,1.353200883,1.130584192,1.592857143,1.6,0.875,0.786052518,1.040491205,0.920064644,0.896145347
4_6_2020,0.3,0.802919708,0.891269841,1.338961039,0.666666667,1.06779661,1.189873418,2.043478261,3.131919906,0.806499628,2.351778656,1.20441989,0.915827628,0.833873957,0.666666667,0.580246914,1.169960474,0.793637847,1.449848024,0.910313901,0.55,0.442857143,0.918035779,1.00414673,1.07613836,1.456438356
4_7_2020,0.718446602,0.890909091,1.228851291,1.816682832,1.278202677,0.841269841,2.138297872,0.829787234,-1.312147424,1.319286373,0.44789916,1.133027523,0.918645558,0.844401223,1.602564103,1,1.168918919,0.804727646,1.209643606,0.935960591,1.606060606,2.032258065,1.047325512,1.236340534,0.952445226,1.031978932
4_8_2020,1.175675676,1.173469388,0.876086957,1.140416444,0.969334331,1.716981132,1.36318408,1.512820513,-1.104901118,1.313359758,1.135084428,0.882591093,0.955959789,1.262257321,1.426666667,1.127659574,1.144508671,1.24265645,1.018197574,0.721052632,1.339622642,1.523809524,1.191949877,1.057810894,1.026562963,0.941122858
4_9_2020,0.91954023,0.852173913,1.306865178,0.899812734,1.06404321,0.813186813,0.616788321,0.871186441,0.981582361,0.867211078,1.337190083,1.54587156,0.818227341,1.095933264,1.110280374,0.735849057,0.656565657,1.254881809,1.241702128,2.591240876,2.021126761,0.927083333,0.796750558,0.985183386,1.169957302,0.950222739
4_10_2020,2.25,1.091836735,1.065822785,0.804370447,0.902102973,0.783783784,1.479289941,0.634241245,0.41384778,0.81678608,1.079110012,0.649851632,1.206854345,0.93981922,1.070707071,0.692307692,1.55,1.102375102,1.224126114,1.025352113,0.68989547,0.775280899,1.009796082,1.170364892,0.942485525,0.890134529
4_11_2020,0,0.822429907,0.802256532,0.704398448,1.050643087,1.25862069,0.944,0.607361963,0.922733078,0.685964912,0.971363116,1.506849315,0.931541582,1.188053657,1.102201258,1.111111111,0.930521092,0.982169391,0.933370661,1.049450549,0.964646465,0.362318841,0.941199762,1.082367811,0.85241797,0.827341424
4_12_2020,0.2,0.136363636,1.205773501,1.345270891,0.932670237,1.643835616,0.283898305,1.616161616,35.11903114,1.076360979,0.89504717,1.209090909,0.902014154,0.871751172,0.744650499,1.066666667,1.178666667,0.888804841,1.311337732,1.123036649,1.219895288,5.8,0.800168279,0.932074737,0.917822256,0.979518406
4_13_2020,0.395209581,3,0.578268877,0.845051195,1.340442986,0.658333333,1.134328358,0.425,0.061895284,0.752885268,1.644268775,0.79197995,0.975859988,0.770527859,0.574712644,0.78125,0.798642534,0.820425532,1.170173833,1.1002331,1.656652361,0.682758621,0.859095689,0.854666945,1.0019351,1.188188754
4_14_2020,1.045454545,1.777777778,0.562632696,1.479806139,0.995104039,1.17721519,1.671052632,0.764705882,5.554918816,0.58025248,0.828525641,0.892405063,0.973407545,0.942594355,1.68,1.08,1.090651558,0.902489627,1.08444097,0.921610169,0.865284974,1.444444444,0.747246022,0.992426093,1.05463527,1.034007134
